"Price Quartiles and Averages for Absorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
Man./Man.,Brandon,Total,"406,856","345,000","370,000","425,000",--,--,--,--,"406,856","345,000","370,000","425,000"
Man./Man.,Total,Total,"437,896","355,000","400,000","460,000","322,719","300,000","315,000","335,000","424,805","340,000","400,000","450,000"
Sask./Sask.,Regina,Lajord No. 128 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Pense No. 160 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Belle Plaine (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Pense (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Sherwood No. 159 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Regina (CY),"523,392","420,000","480,000","600,000","341,470","320,000","335,000","350,000","493,852","400,000","475,000","595,000"
Sask./Sask.,Regina,Grand Coulee (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Edenwold No. 158 (RM),"527,860",--,--,--,--,--,--,--,"527,860",--,--,--
Sask./Sask.,Regina,White City (T),"619,961",--,--,--,--,--,--,--,"619,961",--,--,--
Sask./Sask.,Regina,Pilot Butte (T),"356,697",--,--,--,--,--,--,--,"356,697",--,--,--
Sask./Sask.,Regina,Balgonie (T),"497,125",--,--,--,--,--,--,--,"497,125",--,--,--
Sask./Sask.,Regina,Edenwold (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Lumsden No. 189 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Disley (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Buena Vista (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Lumsden (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Lumsden Beach (RV),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Regina Beach (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Total,"520,963","400,000","475,000","595,000","341,470","320,000","335,000","350,000","499,476","395,000","470,000","590,000"
Sask./Sask.,Saskatoon,Thode (RV),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Dundurn No. 314 (RM),"391,850","265,000","275,000","375,000",--,--,--,--,"391,850","265,000","275,000","375,000"
Sask./Sask.,Saskatoon,Dundurn (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Shields (RV),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Corman Park No. 344 (RM),"713,329","500,000","675,000","875,000",--,--,--,--,"713,329","500,000","675,000","875,000"
Sask./Sask.,Saskatoon,Saskatoon (CY),"451,216","365,000","405,000","485,000","435,288",--,--,--,"450,926","365,000","405,000","485,000"
Sask./Sask.,Saskatoon,Langham (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Warman (CY),"400,830","375,000","395,000","450,000",--,--,--,--,"400,830","375,000","395,000","450,000"
Sask./Sask.,Saskatoon,Blucher No. 343 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Martensville (CY),"388,933",--,--,--,--,--,--,--,"388,933",--,--,--
Sask./Sask.,Saskatoon,Bradwell (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Allan (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Dalmeny (T),"375,981","320,000","330,000","405,000",--,--,--,--,"375,981","320,000","330,000","405,000"
Sask./Sask.,Saskatoon,Osler (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Colonsay No. 342 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Clavet (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Meacham (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Colonsay (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,First Nations (Saskatoon) (R),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Vanscoy No. 345 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Delisle (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Vanscoy (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Asquith (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Aberdeen No. 373 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Aberdeen (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Saskatoon,Total,"459,191","360,000","400,000","490,000","422,669","352,500","430,000","470,000","457,389","360,000","400,000","490,000"
Sask./Sask.,Total,Total,"480,598","370,000","425,000","535,000","367,453","320,000","345,000","375,000","467,898","360,000","415,000","520,000"
Alta/Alb.,Calgary,Rocky View County (MD),"1,047,194","725,000","910,000","1,300,000",--,--,--,--,"1,047,194","725,000","910,000","1,300,000"
Alta/Alb.,Calgary,Calgary (CY),"692,666","500,000","580,000","715,000","551,304","367,500","400,000","705,000","661,067","480,000","570,000","710,000"
Alta/Alb.,Calgary,Chestermere (CY),"764,643","585,000","760,000","890,000",--,--,--,--,"764,643","585,000","760,000","890,000"
Alta/Alb.,Calgary,Cochrane (T),"479,298","420,000","455,000","510,000","366,889","355,000","370,000","445,000","453,971","410,000","450,000","507,500"
Alta/Alb.,Calgary,Airdrie (CY),"509,916","430,000","487,500","540,000","392,013","355,000","360,000","375,000","484,107","420,000","485,000","540,000"
Alta/Alb.,Calgary,Irricana (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Calgary,Beiseker (VL),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Calgary,Crossfield (T),"387,048","310,000","327,500","345,000",--,--,--,--,"387,048","310,000","327,500","345,000"
Alta/Alb.,Calgary,First Nations (Calgary) (R),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Calgary,Total,"668,718","475,000","565,000","700,000","505,579","365,000","390,000","475,000","632,239","450,000","550,000","695,000"
Alta/Alb.,Edmonton,Bruderheim (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Leduc County (MD),"745,371","495,000","635,000","850,000",--,--,--,--,"745,371","495,000","635,000","850,000"
Alta/Alb.,Edmonton,Beaumont (T),"500,428","460,000","500,000","550,000",--,--,--,--,"500,428","460,000","500,000","550,000"
Alta/Alb.,Edmonton,Leduc (CY),"435,837","370,000","422,500","485,000","356,888",--,--,--,"418,395","370,000","422,500","485,000"
Alta/Alb.,Edmonton,Devon (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Calmar (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Sundance Beach (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Thorsby (VL),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Itaska Beach (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Golden Days (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Warburg (VL),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Parkland County (MD),"662,960",--,--,--,--,--,--,--,"662,960",--,--,--
Alta/Alb.,Edmonton,Seba Beach (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Betula Beach (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Point Alison (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Lakeview (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Kapasiwin (SV),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Wabamun (VL),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Spring Lake (VL),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Stony Plain (T),"528,383",--,--,--,"313,215",--,--,--,"488,537",--,--,--
Alta/Alb.,Edmonton,Spruce Grove (CY),"462,031","380,000","450,000","502,500","358,612","335,000","350,000","365,000","416,618","350,000","390,000","480,000"
Alta/Alb.,Edmonton,Strathcona County (SM),"676,090","525,000","560,000","675,000","384,210","355,000","370,000","380,000","583,449","380,000","530,000","600,000"
Alta/Alb.,Edmonton,Fort Saskatchewan (CY),"509,570","420,000","455,000","570,000","343,159","335,000","350,000","355,000","420,817","340,000","355,000","455,000"
Alta/Alb.,Edmonton,Sturgeon County (MD),"703,468","440,000","720,000","950,000",--,--,--,--,"703,468","440,000","720,000","950,000"
Alta/Alb.,Edmonton,Edmonton (CY),"564,186","425,000","505,000","600,000","384,655","345,000","365,000","395,000","509,922","375,000","450,000","565,000"
Alta/Alb.,Edmonton,St. Albert (CY),"601,981","495,000","590,000","675,000","426,325","375,000","390,000","450,000","517,290","392,500","500,000","622,500"
Alta/Alb.,Edmonton,Gibbons (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Redwater (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Bon Accord (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Morinville (T),"344,707",--,--,--,--,--,--,--,"344,707",--,--,--
Alta/Alb.,Edmonton,Legal (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,First Nations (Edmonton) (R),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Edmonton,Total,"560,722","425,000","500,000","600,000","379,665","345,000","365,000","390,000","503,856","370,000","450,000","560,000"
Alta/Alb.,Lethbridge,Lethbridge County (MD),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Lethbridge,Lethbridge (CY),"426,281","345,000","380,000","480,000",--,--,--,--,"426,281","345,000","380,000","480,000"
Alta/Alb.,Lethbridge,Coalhurst (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Lethbridge,Nobleford (VL),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Lethbridge,Barons (VL),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Lethbridge,Picture Butte (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Lethbridge,Coaldale (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Lethbridge,Total,"417,974","345,000","385,000","460,000","319,567",--,--,--,"415,004","345,000","385,000","460,000"
Alta/Alb.,Grande Prairie,Grande Prairie (CY),"436,411","377,500","422,500","477,500","251,600",--,--,--,"430,167","377,500","422,500","477,500"
Alta/Alb.,Grande Prairie,Total,"436,411","377,500","422,500","477,500","251,600",--,--,--,"430,167","377,500","422,500","477,500"
Alta/Alb.,Medicine Hat,Cypress County (MD),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Medicine Hat,Medicine Hat (CY),--,--,--,--,"329,960",--,--,--,"329,960",--,--,--
Alta/Alb.,Medicine Hat,Redcliff (T),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Medicine Hat,Total,"493,964","345,000","490,000","585,000","329,960",--,--,--,"472,938","345,000","490,000","585,000"
Alta/Alb.,Red Deer,Red Deer (CY),"508,264","400,000","485,000","575,000",--,--,--,--,"508,264","400,000","485,000","575,000"
Alta/Alb.,Red Deer,Total,"508,264","400,000","485,000","575,000",--,--,--,--,"508,264","400,000","485,000","575,000"
Alta/Alb.,Wood Buffalo,Wood Buffalo (SM),"675,800",--,--,--,"577,250",--,--,--,"590,104",--,--,--
Alta/Alb.,Wood Buffalo,First Nations (Wood Buffalo) (R),--,--,--,--,--,--,--,--,--,--,--,--
Alta/Alb.,Wood Buffalo,Total,"675,800",--,--,--,"577,250",--,--,--,"590,104",--,--,--
Alta/Alb.,Total,Total,"596,440","435,000","525,000","635,000","424,019","350,000","370,000","415,000","550,840","385,000","480,000","600,000"
B.C./C.-B.,Abbotsford - Mission,Abbotsford (CY),"1,002,528","770,000","902,500","1,115,000",--,--,--,--,"1,002,528","770,000","902,500","1,115,000"
B.C./C.-B.,Abbotsford - Mission,Mission (DM),"910,734","725,000","840,000","970,000",--,--,--,--,"910,734","725,000","840,000","970,000"
B.C./C.-B.,Abbotsford - Mission,First Nations (Abbotsford-Mission) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Abbotsford - Mission,Total,"972,360","755,000","880,000","1,100,000",--,--,--,--,"972,360","755,000","880,000","1,100,000"
B.C./C.-B.,Kelowna,Kelowna (CY),"1,019,253","720,000","840,000","1,100,000","603,980",--,--,--,"1,012,764","720,000","840,000","1,100,000"
B.C./C.-B.,Kelowna,Central Okanagan (RDA),--,--,--,--,"573,935",--,--,--,"573,935",--,--,--
B.C./C.-B.,Kelowna,Lake Country (DM),"896,287","625,000","745,000","880,000",--,--,--,--,"896,287","625,000","745,000","880,000"
B.C./C.-B.,Kelowna,Peachland (DM),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Kelowna,Central Okanagan J (RDA),"597,239",--,--,--,--,--,--,--,"597,239",--,--,--
B.C./C.-B.,Kelowna,West Kelowna (DM),"830,814","605,000","700,000","830,000",--,--,--,--,"830,814","605,000","700,000","830,000"
B.C./C.-B.,Kelowna,First Nations (Kelowna) (R),"491,452",--,--,--,--,--,--,--,"491,452",--,--,--
B.C./C.-B.,Kelowna,Total,"890,583","600,000","750,000","960,000","590,940","522,500","575,000","590,000","836,921","585,000","730,000","925,000"
B.C./C.-B.,Vancouver,Langley (DM),"1,273,193","880,000","1,160,000","1,500,000","533,500",--,--,--,"1,257,413","880,000","1,160,000","1,500,000"
B.C./C.-B.,Vancouver,Langley (CY),"1,427,980",--,--,--,--,--,--,--,"1,427,980",--,--,--
B.C./C.-B.,Vancouver,Surrey (CY),"1,577,919","1,195,000","1,400,000","1,670,000","564,197",--,--,--,"1,542,313","1,195,000","1,400,000","1,670,000"
B.C./C.-B.,Vancouver,White Rock (CY),"2,926,971",--,--,--,--,--,--,--,"2,926,971",--,--,--
B.C./C.-B.,Vancouver,Delta (DM),"1,509,822","1,000,000","1,400,000","1,600,000",--,--,--,--,"1,509,822","1,000,000","1,400,000","1,600,000"
B.C./C.-B.,Vancouver,Richmond (CY),"2,751,885","2,000,000","2,690,000","3,035,000","1,044,716",--,--,--,"2,666,720","2,000,000","2,690,000","3,035,000"
B.C./C.-B.,Vancouver,Greater Vancouver A (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vancouver,Vancouver (CY),"3,850,844","2,350,000","3,000,000","4,810,000","1,304,516","1,100,000","1,250,000","1,450,000","3,643,339","2,300,000","3,000,000","4,750,000"
B.C./C.-B.,Vancouver,Burnaby (CY),"2,421,083","1,890,000","2,365,000","2,820,000","1,260,697","825,000","1,197,500","1,355,000","2,280,326","1,790,000","2,290,000","2,800,000"
B.C./C.-B.,Vancouver,New Westminster (CY),"1,398,208","842,500","1,187,500","1,337,500",--,--,--,--,"1,398,208","842,500","1,187,500","1,337,500"
B.C./C.-B.,Vancouver,Coquitlam (CY),"1,806,309","1,500,000","1,680,000","2,150,000","844,654","765,000","825,000","880,000","1,618,436","1,200,000","1,600,000","2,035,000"
B.C./C.-B.,Vancouver,Belcarra (VL),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vancouver,Anmore (VL),"2,445,124",--,--,--,--,--,--,--,"2,445,124",--,--,--
B.C./C.-B.,Vancouver,Port Coquitlam (CY),"1,682,148","1,155,000","1,615,000","2,190,000",--,--,--,--,"1,682,148","1,155,000","1,615,000","2,190,000"
B.C./C.-B.,Vancouver,Port Moody (CY),"2,743,059","1,960,000","2,485,000","2,830,000",--,--,--,--,"2,743,059","1,960,000","2,485,000","2,830,000"
B.C./C.-B.,Vancouver,North Vancouver (DM),"3,147,010","2,285,000","3,050,000","3,700,000",--,--,--,--,"3,147,010","2,285,000","3,050,000","3,700,000"
B.C./C.-B.,Vancouver,North Vancouver (CY),"2,411,220","2,000,000","2,540,000","2,790,000","1,792,832",--,--,--,"2,227,019","2,000,000","2,540,000","2,790,000"
B.C./C.-B.,Vancouver,West Vancouver (DM),"5,651,571","3,295,000","4,620,000","6,400,000",--,--,--,--,"5,651,571","3,295,000","4,620,000","6,400,000"
B.C./C.-B.,Vancouver,Bowen Island (IM),"1,574,375",--,--,--,--,--,--,--,"1,574,375",--,--,--
B.C./C.-B.,Vancouver,Lions Bay (VL),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vancouver,Pitt Meadows (CY),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vancouver,Maple Ridge (CY),"980,310","785,000","875,000","1,050,000","532,979",--,--,--,"958,555","785,000","875,000","1,050,000"
B.C./C.-B.,Vancouver,First Nations (Vancouver) (R),"723,900","725,000","725,000","725,000",--,--,--,--,"723,900","725,000","725,000","725,000"
B.C./C.-B.,Vancouver,Total,"2,264,596","1,245,000","1,795,000","2,800,000","1,030,375","685,000","895,000","1,280,000","2,146,014","1,180,000","1,680,000","2,655,000"
B.C./C.-B.,Victoria,North Saanich (DM),"1,020,130","510,000","510,000","850,000",--,--,--,--,"1,020,130","510,000","510,000","850,000"
B.C./C.-B.,Victoria,Sidney (T),"997,926",--,--,--,--,--,--,--,"997,926",--,--,--
B.C./C.-B.,Victoria,Central Saanich (DM),"1,297,475",--,--,--,--,--,--,--,"1,297,475",--,--,--
B.C./C.-B.,Victoria,Saanich (DM),"1,442,143","1,030,000","1,300,000","1,700,000",--,--,--,--,"1,442,143","1,030,000","1,300,000","1,700,000"
B.C./C.-B.,Victoria,Oak Bay (DM),"2,148,875",--,--,--,--,--,--,--,"2,148,875",--,--,--
B.C./C.-B.,Victoria,Victoria (CY),"1,237,442",--,--,--,--,--,--,--,"1,237,442",--,--,--
B.C./C.-B.,Victoria,Esquimalt (DM),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Victoria,Colwood (CY),"772,803","600,000","650,000","780,000",--,--,--,--,"772,803","600,000","650,000","780,000"
B.C./C.-B.,Victoria,Metchosin (DM),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Victoria,Langford (CY),"835,333","630,000","750,000","882,500",--,--,--,--,"835,333","630,000","750,000","882,500"
B.C./C.-B.,Victoria,View Royal (T),"629,494",--,--,--,--,--,--,--,"629,494",--,--,--
B.C./C.-B.,Victoria,Highlands (DM),"810,836",--,--,--,--,--,--,--,"810,836",--,--,--
B.C./C.-B.,Victoria,Sooke (DM),"586,481","487,500","565,000","650,000","404,200",--,--,--,"576,260","487,500","565,000","650,000"
B.C./C.-B.,Victoria,Juan de Fuca (Part 1) (RDA),"720,722",--,--,--,--,--,--,--,"720,722",--,--,--
B.C./C.-B.,Victoria,First Nations (Victoria) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Victoria,Total,"975,838","630,000","800,000","1,060,000","580,474",--,--,--,"939,933","630,000","800,000","1,060,000"
B.C./C.-B.,Chilliwack,Chilliwack (CY),"680,023","555,000","655,000","770,000",--,--,--,--,"680,023","555,000","655,000","770,000"
B.C./C.-B.,Chilliwack,Harrison Hot Springs (VL),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Chilliwack,Kent (DM),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Chilliwack,Fraser Valley D (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Chilliwack,Fraser Valley H (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Chilliwack,Fraser Valley E (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Chilliwack,First Nations (Chilliwack) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Chilliwack,Total,"673,626","545,000","650,000","760,000","446,329",--,--,--,"667,150","545,000","650,000","760,000"
B.C./C.-B.,Courtenay,Comox (T),"504,629",--,--,--,--,--,--,--,"504,629",--,--,--
B.C./C.-B.,Courtenay,Courtenay (CY),"574,596","490,000","542,500","742,500",--,--,--,--,"574,596","490,000","542,500","742,500"
B.C./C.-B.,Courtenay,Comox Valley A (RDA),"729,581","435,000","600,000","800,000",--,--,--,--,"729,581","435,000","600,000","800,000"
B.C./C.-B.,Courtenay,Comox Valley B (Lazo North) (RDA),"707,143",--,--,--,--,--,--,--,"707,143",--,--,--
B.C./C.-B.,Courtenay,First Nations (Courtenay) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Courtenay,Total,"640,733","475,000","570,000","750,000",--,--,--,--,"640,733","475,000","570,000","750,000"
B.C./C.-B.,Kamloops,Logan Lake (DM),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Kamloops,Thompson-Nicola J (Copper Desert Country) (RDA),"676,983",--,--,--,--,--,--,--,"676,983",--,--,--
B.C./C.-B.,Kamloops,Kamloops (CY),"541,218","350,000","480,000","615,000","429,837",--,--,--,"524,629","350,000","480,000","615,000"
B.C./C.-B.,Kamloops,Thompson-Nicola P (Rivers and the Peaks) (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Kamloops,Sun Peaks Mountain (VL),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Kamloops,Chase (VL),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Kamloops,First Nations (Kamloops) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Kamloops,Total,"569,630","410,000","552,500","675,000","404,135",--,--,--,"542,600","410,000","552,500","675,000"
B.C./C.-B.,Nanaimo,Nanaimo (CY),"595,127","497,500","597,500","730,000",--,--,--,--,"595,127","497,500","597,500","730,000"
B.C./C.-B.,Nanaimo,Lantzville (DM),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Nanaimo,Nanaimo A (RDA),"558,206","425,000","470,000","790,000",--,--,--,--,"558,206","425,000","470,000","790,000"
B.C./C.-B.,Nanaimo,Nanaimo C (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Nanaimo,First Nations (Nanaimo) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Nanaimo,Total,"577,579","440,000","527,500","645,000","459,155",--,--,--,"573,930","440,000","527,500","645,000"
B.C./C.-B.,Prince George,Prince George (CY),"500,240","405,000","475,000","530,000",--,--,--,--,"500,240","405,000","475,000","530,000"
B.C./C.-B.,Prince George,Fraser-Fort George A (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Prince George,Fraser-Fort George C (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Prince George,Fraser-Fort George D (RDA),"327,653",--,--,--,--,--,--,--,"327,653",--,--,--
B.C./C.-B.,Prince George,Fraser-Fort George F (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Prince George,First Nations (Prince George) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Prince George,Total,"461,411","365,000","435,000","505,000",--,--,--,--,"461,411","365,000","435,000","505,000"
B.C./C.-B.,Vernon,Coldstream (DM),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vernon,Vernon (CY),"798,017",--,--,--,"447,524",--,--,--,"753,409",--,--,--
B.C./C.-B.,Vernon,North Okanagan B (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vernon,North Okanagan C (RDA),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vernon,First Nations (Vernon) (R),--,--,--,--,--,--,--,--,--,--,--,--
B.C./C.-B.,Vernon,Total,"788,764","620,000","700,000","825,000","482,490",--,--,--,"763,880","620,000","700,000","825,000"
B.C./C.-B.,Total,Total,"1,567,215","700,000","1,085,000","1,980,000","760,912","490,000","600,000","910,000","1,481,395","650,000","1,000,000","1,795,000"
"Canada (50,000+)",Total,Total,"812,996","430,000","575,000","840,000","425,801","300,000","370,000","450,000","749,027","395,000","535,000","780,000"
,,,,,,,,,,,,,,
© 2018 Canada Mortgage and Housing Corporation / © 2018 Société canadienne d'hypothèques et de logement,,,,,,,,,,,,,,
Source: CMHC (Starts and Completions Survey) / Source: SCHL (mises en chantier et des achèvements),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
